Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0031R,IE0031R,SPO.IE.IE0031RSample2_4813,SPP.IE.IE0031RSample2_4813,SAM.IE.IE0031RSAMPLE2,Hg0 + Hg-reactive,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4813,var,1.3500000000,ng/m3,2015-06-01 00:00:00 +01:00,2015-07-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0031R,IE0031R,SPO.IE.IE0031RSample2_4813,SPP.IE.IE0031RSample2_4813,SAM.IE.IE0031RSAMPLE2,Hg0 + Hg-reactive,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4813,var,1.3100000000,ng/m3,2015-07-01 00:00:00 +01:00,2015-08-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0031R,IE0031R,SPO.IE.IE0031RSample2_4813,SPP.IE.IE0031RSample2_4813,SAM.IE.IE0031RSAMPLE2,Hg0 + Hg-reactive,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4813,var,1.2340000000,ng/m3,2015-08-01 00:00:00 +01:00,2015-09-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0031R,IE0031R,SPO.IE.IE0031RSample2_4813,SPP.IE.IE0031RSample2_4813,SAM.IE.IE0031RSAMPLE2,Hg0 + Hg-reactive,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4813,var,,ng/m3,2015-09-01 00:00:00 +01:00,2015-10-01 00:00:00 +01:00,-1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0031R,IE0031R,SPO.IE.IE0031RSample2_4813,SPP.IE.IE0031RSample2_4813,SAM.IE.IE0031RSAMPLE2,Hg0 + Hg-reactive,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4813,var,1.2040000000,ng/m3,2015-10-01 00:00:00 +01:00,2015-11-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0031R,IE0031R,SPO.IE.IE0031RSample2_4813,SPP.IE.IE0031RSample2_4813,SAM.IE.IE0031RSAMPLE2,Hg0 + Hg-reactive,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4813,var,1.2700000000,ng/m3,2015-11-01 00:00:00 +01:00,2015-12-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0031R,IE0031R,SPO.IE.IE0031RSample2_4813,SPP.IE.IE0031RSample2_4813,SAM.IE.IE0031RSAMPLE2,Hg0 + Hg-reactive,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4813,var,1.2970000000,ng/m3,2015-12-01 00:00:00 +01:00,2016-01-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0031R,IE0031R,SPO.IE.IE0031RSample2_4813,SPP.IE.IE0031RSample2_4813,SAM.IE.IE0031RSAMPLE2,Hg0 + Hg-reactive,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4813,var,1.5220000000,ng/m3,2015-01-01 00:00:00 +01:00,2015-02-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0031R,IE0031R,SPO.IE.IE0031RSample2_4813,SPP.IE.IE0031RSample2_4813,SAM.IE.IE0031RSAMPLE2,Hg0 + Hg-reactive,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4813,var,1.5760000000,ng/m3,2015-02-01 00:00:00 +01:00,2015-03-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0031R,IE0031R,SPO.IE.IE0031RSample2_4813,SPP.IE.IE0031RSample2_4813,SAM.IE.IE0031RSAMPLE2,Hg0 + Hg-reactive,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4813,var,1.5520000000,ng/m3,2015-03-01 00:00:00 +01:00,2015-04-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0031R,IE0031R,SPO.IE.IE0031RSample2_4813,SPP.IE.IE0031RSample2_4813,SAM.IE.IE0031RSAMPLE2,Hg0 + Hg-reactive,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4813,var,1.3970000000,ng/m3,2015-05-01 00:00:00 +01:00,2015-06-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0031R,IE0031R,SPO.IE.IE0031RSample2_4813,SPP.IE.IE0031RSample2_4813,SAM.IE.IE0031RSAMPLE2,Hg0 + Hg-reactive,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4813,var,1.3440000000,ng/m3,2015-04-01 00:00:00 +01:00,2015-05-01 00:00:00 +01:00,1,1
