Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0143A,IE0143A,SPO.IE.IE0143ASample1_7419,SPP.IE.IE0143ASample1_7419,SAM.IE.IE0143ASAMPLE1,Dibenzo(ah)anthracene,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7419,var,20.0300000000,ug/m2/day,2016-01-01 00:00:00 +01:00,2016-02-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0143A,IE0143A,SPO.IE.IE0143ASample1_7419,SPP.IE.IE0143ASample1_7419,SAM.IE.IE0143ASAMPLE1,Dibenzo(ah)anthracene,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7419,var,7.4100000000,ug/m2/day,2016-02-01 00:00:00 +01:00,2016-03-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0143A,IE0143A,SPO.IE.IE0143ASample1_7419,SPP.IE.IE0143ASample1_7419,SAM.IE.IE0143ASAMPLE1,Dibenzo(ah)anthracene,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7419,var,25.4400000000,ug/m2/day,2016-04-01 00:00:00 +01:00,2016-05-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0143A,IE0143A,SPO.IE.IE0143ASample1_7419,SPP.IE.IE0143ASample1_7419,SAM.IE.IE0143ASAMPLE1,Dibenzo(ah)anthracene,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7419,var,3.6699999900,ug/m2/day,2016-05-01 00:00:00 +01:00,2016-06-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0143A,IE0143A,SPO.IE.IE0143ASample1_7419,SPP.IE.IE0143ASample1_7419,SAM.IE.IE0143ASAMPLE1,Dibenzo(ah)anthracene,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7419,var,6.9800000000,ug/m2/day,2016-03-01 00:00:00 +01:00,2016-04-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0143A,IE0143A,SPO.IE.IE0143ASample1_7419,SPP.IE.IE0143ASample1_7419,SAM.IE.IE0143ASAMPLE1,Dibenzo(ah)anthracene,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7419,var,1.4599999900,ug/m2/day,2016-06-01 00:00:00 +01:00,2016-07-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0143A,IE0143A,SPO.IE.IE0143ASample1_7419,SPP.IE.IE0143ASample1_7419,SAM.IE.IE0143ASAMPLE1,Dibenzo(ah)anthracene,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7419,var,0.7300000000,ug/m2/day,2016-08-01 00:00:00 +01:00,2016-09-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0143A,IE0143A,SPO.IE.IE0143ASample1_7419,SPP.IE.IE0143ASample1_7419,SAM.IE.IE0143ASAMPLE1,Dibenzo(ah)anthracene,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7419,var,2.8500000000,ug/m2/day,2016-07-01 00:00:00 +01:00,2016-08-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0143A,IE0143A,SPO.IE.IE0143ASample1_7419,SPP.IE.IE0143ASample1_7419,SAM.IE.IE0143ASAMPLE1,Dibenzo(ah)anthracene,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7419,var,0.7600000000,ug/m2/day,2016-09-01 00:00:00 +01:00,2016-10-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0143A,IE0143A,SPO.IE.IE0143ASample1_7419,SPP.IE.IE0143ASample1_7419,SAM.IE.IE0143ASAMPLE1,Dibenzo(ah)anthracene,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7419,var,0.6600000000,ug/m2/day,2016-10-01 00:00:00 +01:00,2016-11-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0143A,IE0143A,SPO.IE.IE0143ASample1_7419,SPP.IE.IE0143ASample1_7419,SAM.IE.IE0143ASAMPLE1,Dibenzo(ah)anthracene,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7419,var,0.3200000000,ug/m2/day,2016-11-01 00:00:00 +01:00,2016-12-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0143A,IE0143A,SPO.IE.IE0143ASample1_7419,SPP.IE.IE0143ASample1_7419,SAM.IE.IE0143ASAMPLE1,Dibenzo(ah)anthracene,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7419,var,2.5299999900,ug/m2/day,2016-12-01 00:00:00 +01:00,2017-01-01 00:00:00 +01:00,1,1
