Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0028A,IE0028A,SPO.IE.IE0028ASample2_5419,SPP.IE.IE0028ASample2_5419,SAM.IE.IE0028ASAMPLE2,Dibenzo(ah)anthracene in PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5419,var,0.1280316600,µg/m3,2014-03-01 00:00:00 +01:00,2014-04-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0028A,IE0028A,SPO.IE.IE0028ASample2_5419,SPP.IE.IE0028ASample2_5419,SAM.IE.IE0028ASAMPLE2,Dibenzo(ah)anthracene in PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5419,var,0.0855381900,µg/m3,2014-04-01 00:00:00 +01:00,2014-05-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0028A,IE0028A,SPO.IE.IE0028ASample2_5419,SPP.IE.IE0028ASample2_5419,SAM.IE.IE0028ASAMPLE2,Dibenzo(ah)anthracene in PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5419,var,0.0691252200,µg/m3,2014-05-01 00:00:00 +01:00,2014-06-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0028A,IE0028A,SPO.IE.IE0028ASample2_5419,SPP.IE.IE0028ASample2_5419,SAM.IE.IE0028ASAMPLE2,Dibenzo(ah)anthracene in PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5419,var,0.0898095100,µg/m3,2014-09-01 00:00:00 +01:00,2014-10-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0028A,IE0028A,SPO.IE.IE0028ASample2_5419,SPP.IE.IE0028ASample2_5419,SAM.IE.IE0028ASAMPLE2,Dibenzo(ah)anthracene in PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5419,var,0.3652857100,µg/m3,2014-11-01 00:00:00 +01:00,2014-12-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0028A,IE0028A,SPO.IE.IE0028ASample2_5419,SPP.IE.IE0028ASample2_5419,SAM.IE.IE0028ASAMPLE2,Dibenzo(ah)anthracene in PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5419,var,0.3172940300,µg/m3,2014-01-01 00:00:00 +01:00,2014-02-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0028A,IE0028A,SPO.IE.IE0028ASample2_5419,SPP.IE.IE0028ASample2_5419,SAM.IE.IE0028ASAMPLE2,Dibenzo(ah)anthracene in PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5419,var,0.2241748000,µg/m3,2014-02-01 00:00:00 +01:00,2014-03-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0028A,IE0028A,SPO.IE.IE0028ASample2_5419,SPP.IE.IE0028ASample2_5419,SAM.IE.IE0028ASAMPLE2,Dibenzo(ah)anthracene in PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5419,var,0.0516169000,µg/m3,2014-06-01 00:00:00 +01:00,2014-07-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0028A,IE0028A,SPO.IE.IE0028ASample2_5419,SPP.IE.IE0028ASample2_5419,SAM.IE.IE0028ASAMPLE2,Dibenzo(ah)anthracene in PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5419,var,0.3710162500,µg/m3,2014-12-01 00:00:00 +01:00,2015-01-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0028A,IE0028A,SPO.IE.IE0028ASample2_5419,SPP.IE.IE0028ASample2_5419,SAM.IE.IE0028ASAMPLE2,Dibenzo(ah)anthracene in PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5419,var,0.0000000000,µg/m3,2014-08-01 00:00:00 +01:00,2014-09-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0028A,IE0028A,SPO.IE.IE0028ASample2_5419,SPP.IE.IE0028ASample2_5419,SAM.IE.IE0028ASAMPLE2,Dibenzo(ah)anthracene in PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5419,var,0.1528903300,µg/m3,2014-10-01 00:00:00 +01:00,2014-11-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0028A,IE0028A,SPO.IE.IE0028ASample2_5419,SPP.IE.IE0028ASample2_5419,SAM.IE.IE0028ASAMPLE2,Dibenzo(ah)anthracene in PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5419,var,0.0523052100,µg/m3,2014-07-01 00:00:00 +01:00,2014-08-01 00:00:00 +01:00,1,1
