Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0108A,IE0108A,SPO.IE.IE0108ASample2_7029,SPP.IE.IE0108ASample2_7029,SAM.IE.IE0108ASAMPLE2,BaP,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7029,var,,ug/m2/day,2016-02-01 00:00:00 +01:00,2016-03-01 00:00:00 +01:00,-1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0108A,IE0108A,SPO.IE.IE0108ASample2_7029,SPP.IE.IE0108ASample2_7029,SAM.IE.IE0108ASAMPLE2,BaP,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7029,var,6.6100000000,ug/m2/day,2016-03-01 00:00:00 +01:00,2016-04-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0108A,IE0108A,SPO.IE.IE0108ASample2_7029,SPP.IE.IE0108ASample2_7029,SAM.IE.IE0108ASAMPLE2,BaP,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7029,var,85.9099999900,ug/m2/day,2016-01-01 00:00:00 +01:00,2016-02-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0108A,IE0108A,SPO.IE.IE0108ASample2_7029,SPP.IE.IE0108ASample2_7029,SAM.IE.IE0108ASAMPLE2,BaP,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7029,var,29.5799999900,ug/m2/day,2016-04-01 00:00:00 +01:00,2016-05-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0108A,IE0108A,SPO.IE.IE0108ASample2_7029,SPP.IE.IE0108ASample2_7029,SAM.IE.IE0108ASAMPLE2,BaP,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7029,var,11.4300000000,ug/m2/day,2016-05-01 00:00:00 +01:00,2016-06-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0108A,IE0108A,SPO.IE.IE0108ASample2_7029,SPP.IE.IE0108ASample2_7029,SAM.IE.IE0108ASAMPLE2,BaP,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7029,var,7.3499999900,ug/m2/day,2016-06-01 00:00:00 +01:00,2016-07-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0108A,IE0108A,SPO.IE.IE0108ASample2_7029,SPP.IE.IE0108ASample2_7029,SAM.IE.IE0108ASAMPLE2,BaP,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7029,var,57.4799999900,ug/m2/day,2016-08-01 00:00:00 +01:00,2016-09-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0108A,IE0108A,SPO.IE.IE0108ASample2_7029,SPP.IE.IE0108ASample2_7029,SAM.IE.IE0108ASAMPLE2,BaP,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7029,var,45.6400000000,ug/m2/day,2016-10-01 00:00:00 +01:00,2016-11-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0108A,IE0108A,SPO.IE.IE0108ASample2_7029,SPP.IE.IE0108ASample2_7029,SAM.IE.IE0108ASAMPLE2,BaP,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7029,var,4.4299999900,ug/m2/day,2016-11-01 00:00:00 +01:00,2016-12-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0108A,IE0108A,SPO.IE.IE0108ASample2_7029,SPP.IE.IE0108ASample2_7029,SAM.IE.IE0108ASAMPLE2,BaP,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7029,var,5.4699999900,ug/m2/day,2016-07-01 00:00:00 +01:00,2016-08-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0108A,IE0108A,SPO.IE.IE0108ASample2_7029,SPP.IE.IE0108ASample2_7029,SAM.IE.IE0108ASAMPLE2,BaP,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7029,var,21.8400000000,ug/m2/day,2016-09-01 00:00:00 +01:00,2016-10-01 00:00:00 +01:00,1,1
IE,http://erc.epa.ie/airquality/ipr,NET.IE001,STA.IE.IE0108A,IE0108A,SPO.IE.IE0108ASample2_7029,SPP.IE.IE0108ASample2_7029,SAM.IE.IE0108ASAMPLE2,BaP,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7029,var,,ug/m2/day,2016-12-01 00:00:00 +01:00,2017-01-01 00:00:00 +01:00,-1,1
